Age,Credit_Score,Account_Balence,Credit_Card_Holter,Dependents,Employment_Type,Applicant_Income,Coapplicant_Income,Loan_Status,Education_Status,Fidelity_Scores
86,451,825749,1,1,Employed,128630,81915,0,Graduated,51
64,465,140667,0,0,Employed,75633,78479,1,Graduated,59
65,409,716824,0,2,Self_Employed,178202,174249,0,Non-Graduated,99
57,446,323539,0,2,Employed,180802,96209,1,Non-Graduated,28
67,475,973045,1,2,Employed,80110,25057,1,Non-Graduated,23
71,495,261744,1,1,Employed,118341,100375,0,Non-Graduated,70
43,352,860679,0,1,Employed,115110,187027,1,Non-Graduated,56
43,355,354002,1,1,Employed,141911,167052,0,Graduated,60
97,496,376987,0,2,Employed,153266,27968,1,Non-Graduated,100
33,374,912248,0,2,Employed,148927,115352,1,Non-Graduated,48
61,367,895940,1,1,Self_Employed,34914,97087,1,Graduated,29
57,301,684226,1,1,Self_Employed,159797,26504,0,Graduated,25
54,302,687400,1,0,Employed,124082,193535,1,Non-Graduated,87
88,406,246933,0,0,Employed,54404,109822,0,Non-Graduated,53
89,454,884919,1,1,Employed,165372,147652,0,Graduated,57
87,489,917655,0,2,Employed,95771,90834,1,Graduated,30
22,323,91680,0,0,Employed,117182,162425,1,Non-Graduated,69
72,496,917704,1,1,Employed,32271,68736,0,Non-Graduated,97
59,380,921723,0,2,Self_Employed,80935,24479,0,Graduated,74
34,439,244988,0,0,Employed,94390,199081,0,Graduated,52
50,426,888471,1,2,Self_Employed,178865,145930,1,Graduated,73
45,303,752967,1,1,Self_Employed,31768,131527,1,Graduated,26
42,402,264362,0,0,Employed,48054,148226,1,Graduated,50
89,321,8451,1,2,Employed,179370,149890,0,Non-Graduated,49
64,412,740095,1,0,Employed,131482,15438,0,Non-Graduated,42
92,303,530528,0,1,Employed,83109,133076,1,Non-Graduated,59
96,412,87791,1,2,Self_Employed,104536,101486,1,Non-Graduated,74
53,358,602736,0,1,Employed,103320,117661,0,Non-Graduated,45
46,438,4790,1,0,Self_Employed,155121,175409,1,Non-Graduated,44
87,429,764630,0,2,Self_Employed,94487,25422,1,Non-Graduated,38
90,374,476029,1,0,Employed,43581,127807,0,Non-Graduated,61
51,475,812275,1,2,Employed,72068,118203,1,Non-Graduated,68
