Date,Sales
2023-01-01,132
2023-01-02,177
2023-01-03,297
2023-01-04,169
2023-01-05,59
2023-01-06,103
2023-01-07,120
2023-01-08,84
2023-01-09,179
2023-01-10,265
2023-01-11,211
2023-01-12,65
2023-01-13,239
2023-01-14,166
2023-01-15,150
2023-01-16,72
2023-01-17,238
2023-01-18,238
2023-01-19,222
2023-01-20,58
2023-01-21,74
2023-01-22,203
2023-01-23,242
2023-01-24,58
2023-01-25,103
2023-01-26,152
2023-01-27,167
2023-01-28,51
2023-01-29,200
2023-01-30,126
2023-01-31,153
2023-02-01,252
2023-02-02,155
2023-02-03,237
2023-02-04,65
2023-02-05,255
2023-02-06,238
2023-02-07,100
2023-02-08,237
2023-02-09,151
2023-02-10,69
2023-02-11,105
2023-02-12,237
2023-02-13,290
2023-02-14,118
2023-02-15,60
2023-02-16,267
2023-02-17,211
2023-02-18,173
2023-02-19,75
2023-02-20,106
2023-02-21,285
2023-02-22,126
2023-02-23,256
2023-02-24,108
2023-02-25,128
2023-02-26,189
2023-02-27,292
2023-02-28,224
2023-03-01,298
2023-03-02,199
2023-03-03,71
2023-03-04,174
2023-03-05,248
2023-03-06,83
2023-03-07,298
2023-03-08,193
2023-03-09,150
2023-03-10,51
2023-03-11,210
2023-03-12,164
2023-03-13,91
2023-03-14,80
2023-03-15,210
2023-03-16,80
2023-03-17,171
2023-03-18,229
2023-03-19,258
2023-03-20,157
2023-03-21,117
2023-03-22,277
2023-03-23,257
2023-03-24,77
2023-03-25,275
2023-03-26,131
2023-03-27,127
2023-03-28,151
2023-03-29,221
2023-03-30,158
2023-03-31,132
2023-04-01,189
2023-04-02,192
2023-04-03,66
2023-04-04,286
2023-04-05,137
2023-04-06,205
2023-04-07,149
2023-04-08,249
2023-04-09,190
2023-04-10,267
2023-04-11,202
2023-04-12,179
2023-04-13,166
2023-04-14,299
2023-04-15,218
2023-04-16,175
2023-04-17,114
2023-04-18,116
2023-04-19,276
2023-04-20,146
2023-04-21,166
2023-04-22,108
2023-04-23,136
2023-04-24,213
2023-04-25,227
2023-04-26,245
2023-04-27,292
2023-04-28,294
2023-04-29,222
2023-04-30,201
2023-05-01,199
2023-05-02,240
2023-05-03,88
2023-05-04,286
2023-05-05,141
2023-05-06,67
2023-05-07,169
2023-05-08,60
2023-05-09,239
2023-05-10,241
2023-05-11,206
2023-05-12,242
2023-05-13,169
2023-05-14,156
2023-05-15,205
2023-05-16,132
2023-05-17,206
2023-05-18,150
2023-05-19,90
2023-05-20,98
2023-05-21,167
2023-05-22,177
2023-05-23,84
2023-05-24,88
2023-05-25,195
2023-05-26,210
2023-05-27,279
2023-05-28,85
2023-05-29,180
2023-05-30,147
2023-05-31,214
2023-06-01,284
2023-06-02,127
2023-06-03,197
2023-06-04,75
2023-06-05,128
2023-06-06,72
2023-06-07,290
2023-06-08,237
2023-06-09,150
2023-06-10,220
2023-06-11,150
2023-06-12,117
2023-06-13,125
2023-06-14,184
2023-06-15,82
2023-06-16,122
2023-06-17,245
2023-06-18,130
2023-06-19,211
2023-06-20,169
2023-06-21,90
2023-06-22,89
2023-06-23,56
2023-06-24,207
2023-06-25,178
2023-06-26,227
2023-06-27,206
2023-06-28,87
2023-06-29,292
2023-06-30,85
2023-07-01,57
2023-07-02,298
2023-07-03,299
2023-07-04,50
2023-07-05,101
2023-07-06,187
2023-07-07,260
2023-07-08,209
2023-07-09,297
2023-07-10,109
2023-07-11,84
2023-07-12,214
2023-07-13,188
2023-07-14,166
2023-07-15,68
2023-07-16,188
2023-07-17,260
2023-07-18,222
2023-07-19,241
2023-07-20,59
2023-07-21,201
2023-07-22,59
2023-07-23,259
2023-07-24,285
2023-07-25,260
2023-07-26,249
2023-07-27,151
2023-07-28,235
2023-07-29,166
2023-07-30,174
2023-07-31,151
2023-08-01,283
2023-08-02,224
2023-08-03,252
2023-08-04,210
2023-08-05,83
2023-08-06,148
2023-08-07,152
2023-08-08,165
2023-08-09,210
2023-08-10,272
2023-08-11,112
2023-08-12,119
2023-08-13,139
2023-08-14,248
2023-08-15,241
2023-08-16,223
2023-08-17,119
2023-08-18,52
2023-08-19,114
2023-08-20,254
2023-08-21,290
2023-08-22,103
2023-08-23,195
2023-08-24,299
2023-08-25,69
2023-08-26,114
2023-08-27,194
2023-08-28,273
2023-08-29,168
2023-08-30,285
2023-08-31,195
2023-09-01,274
2023-09-02,90
2023-09-03,280
2023-09-04,97
2023-09-05,132
2023-09-06,210
2023-09-07,102
2023-09-08,94
2023-09-09,272
2023-09-10,74
2023-09-11,74
2023-09-12,59
2023-09-13,200
2023-09-14,124
2023-09-15,150
2023-09-16,79
2023-09-17,61
2023-09-18,233
2023-09-19,284
2023-09-20,90
2023-09-21,178
2023-09-22,247
2023-09-23,239
2023-09-24,164
2023-09-25,220
2023-09-26,174
2023-09-27,137
2023-09-28,280
2023-09-29,118
2023-09-30,244
2023-10-01,111
2023-10-02,195
2023-10-03,87
2023-10-04,205
2023-10-05,76
2023-10-06,64
2023-10-07,162
2023-10-08,260
2023-10-09,211
2023-10-10,298
2023-10-11,165
2023-10-12,244
2023-10-13,298
2023-10-14,236
2023-10-15,245
2023-10-16,76
2023-10-17,204
2023-10-18,52
2023-10-19,185
2023-10-20,180
2023-10-21,288
2023-10-22,184
2023-10-23,214
2023-10-24,101
2023-10-25,145
2023-10-26,64
2023-10-27,252
2023-10-28,240
2023-10-29,184
2023-10-30,286
2023-10-31,168
2023-11-01,269
2023-11-02,277
2023-11-03,180
2023-11-04,78
2023-11-05,78
2023-11-06,205
2023-11-07,293
2023-11-08,273
2023-11-09,145
2023-11-10,67
2023-11-11,201
2023-11-12,77
2023-11-13,148
2023-11-14,81
2023-11-15,264
2023-11-16,263
2023-11-17,249
2023-11-18,232
2023-11-19,133
2023-11-20,241
2023-11-21,114
2023-11-22,249
2023-11-23,292
2023-11-24,255
2023-11-25,161
2023-11-26,162
2023-11-27,81
2023-11-28,292
2023-11-29,166
2023-11-30,286
2023-12-01,199
2023-12-02,172
2023-12-03,134
2023-12-04,80
2023-12-05,229
2023-12-06,242
2023-12-07,89
2023-12-08,254
2023-12-09,207
2023-12-10,88
2023-12-11,184
2023-12-12,59
2023-12-13,57
2023-12-14,169
2023-12-15,75
2023-12-16,219
2023-12-17,256
2023-12-18,102
2023-12-19,242
2023-12-20,239
2023-12-21,100
2023-12-22,257
2023-12-23,218
2023-12-24,58
2023-12-25,123
2023-12-26,53
2023-12-27,217
2023-12-28,54
2023-12-29,53
